GMTTime,SPP North,SPP South,AECI,BLKW,EDDY,ERCOTE,ERCOTN,LAM345,MCWEST,MISO,RCEAST,SCSE,SGE,SPA,SPC,TVA
2020-06-08T16:20:00Z,18.93,18.79,20.55,18.40,18.57,20.54,19.78,14.63,-56.32,19.29,-8.04,8.77,5.89,20.24,26.07,19.89
2020-06-08T16:25:00Z,20.28,19.28,21.36,18.59,18.75,20.63,19.16,15.27,-56.47,19.97,-7.71,9.42,6.49,20.64,26.58,20.51
2020-06-08T16:30:00Z,146.19,136.11,146.02,133.02,134.08,144.86,135.70,115.85,-114.71,141.88,56.07,106.00,97.78,143.90,186.33,143.88
2020-06-08T16:35:00Z,18.40,21.92,23.41,21.09,21.28,23.41,21.75,17.53,-57.52,23.36,-5.55,11.86,8.92,23.47,29.46,23.43
2020-06-08T16:40:00Z,16.62,20.40,22.95,19.35,19.53,22.11,20.16,15.71,-57.40,23.13,-5.81,10.96,8.15,22.10,29.16,22.49
2020-06-08T16:45:00Z,20.28,28.39,29.77,20.94,21.33,30.00,25.93,8.56,-56.22,26.80,-9.09,6.37,3.75,30.03,25.75,28.31
2020-06-08T16:50:00Z,20.78,28.38,29.61,20.87,21.28,29.88,25.90,8.54,-56.43,26.50,-8.99,6.45,3.85,29.94,26.27,28.14
2020-06-08T16:55:00Z,20.78,27.43,28.50,20.01,20.41,28.75,24.96,8.17,-56.56,25.31,-9.01,6.28,3.72,28.87,26.62,27.05
2020-06-08T17:00:00Z,20.37,20.20,22.60,19.19,19.37,21.51,19.95,15.89,-55.71,21.29,-7.81,9.62,6.63,21.65,24.49,21.60
2020-06-08T17:05:00Z,20.76,20.37,22.56,19.32,19.56,21.52,20.12,16.34,-23.55,21.13,0.72,11.41,9.54,21.64,15.53,21.49
2020-06-08T17:10:00Z,18.72,21.17,23.13,20.22,20.46,22.41,20.96,17.73,4.16,23.03,11.69,15.62,14.95,22.39,13.97,22.57
2020-06-08T17:15:00Z,22.44,22.14,24.16,21.01,21.28,23.25,21.86,17.82,-20.22,22.55,2.25,12.57,10.76,23.30,15.75,23.04
2020-06-08T17:20:00Z,21.45,21.78,23.96,20.64,20.91,22.97,21.50,17.41,-20.18,22.51,1.85,12.13,10.32,23.04,14.55,22.86
2020-06-08T17:25:00Z,21.47,20.74,23.09,19.40,19.66,21.94,20.41,16.32,-30.72,21.36,-2.04,10.47,8.28,22.11,15.85,21.89
2020-06-08T17:30:00Z,19.51,20.75,23.00,19.28,19.50,22.03,20.39,16.81,-13.97,22.28,4.84,13.00,11.59,22.13,15.36,22.18
2020-06-08T17:35:00Z,22.29,20.88,23.23,19.14,19.35,22.00,20.42,16.31,-34.26,21.20,-3.51,9.97,7.61,22.23,16.13,21.92
2020-06-08T17:40:00Z,18.87,20.60,23.33,18.81,19.04,21.99,20.16,15.95,-54.62,22.35,-8.12,9.35,6.36,22.19,21.73,22.28
2020-06-08T17:45:00Z,17.78,20.92,22.97,19.30,19.52,22.15,20.51,16.94,-58.01,22.95,-5.02,12.00,9.18,22.22,31.01,22.50
2020-06-08T17:50:00Z,17.62,20.81,23.15,19.17,19.38,22.26,20.42,16.67,-50.49,23.60,-5.23,11.66,8.85,22.35,11.19,22.88
2020-06-08T17:55:00Z,18.76,22.78,25.54,20.81,21.04,24.58,22.31,18.13,-39.91,26.59,-4.64,12.50,9.59,24.68,-16.52,25.52
2020-06-08T18:00:00Z,22.10,21.99,28.51,20.00,20.29,25.35,21.63,17.25,-32.37,29.62,-1.60,14.17,11.49,25.98,-21.40,28.00
2020-06-08T18:05:00Z,21.42,21.99,23.56,20.43,20.73,23.34,21.68,18.46,-17.12,24.69,4.64,15.93,14.03,23.30,-19.18,24.03
2020-06-08T18:10:00Z,17.12,17.73,22.11,15.72,16.06,20.19,17.49,13.33,-13.03,21.78,5.73,12.45,11.33,20.98,11.75,21.37
2020-06-08T18:15:00Z,17.45,19.58,23.05,17.50,17.86,21.77,19.33,14.86,-69.05,23.43,-10.47,10.13,6.70,22.20,10.40,22.82
2020-06-08T18:20:00Z,22.43,20.33,23.28,18.41,18.81,21.84,20.09,15.24,-53.88,21.19,-8.19,9.12,6.17,22.29,19.94,22.02
2020-06-08T18:25:00Z,22.02,21.69,23.05,19.91,20.31,22.42,21.45,16.91,-54.33,20.93,-8.49,9.25,6.20,22.37,20.93,21.89
2020-06-08T18:30:00Z,22.19,22.12,24.62,19.93,20.29,23.61,21.82,16.77,-35.94,23.37,-8.46,9.05,5.99,23.78,-27.29,23.82
2020-06-08T18:35:00Z,21.81,21.65,23.49,19.51,19.83,22.78,21.32,16.71,-40.93,22.09,-8.49,8.95,5.90,22.78,-14.30,22.68
2020-06-08T18:40:00Z,20.69,21.43,23.35,19.12,19.47,23.05,21.11,17.33,-48.63,23.85,-2.20,14.16,11.48,23.10,6.74,23.56
2020-06-08T18:45:00Z,22.34,20.79,22.95,18.34,18.68,21.93,20.38,16.01,-55.66,21.07,-7.31,9.97,7.00,22.19,24.44,21.87
